found,company,score,signals,why,evidence_url,more_evidence,website,location,sources,quote
2026-09-24,Es Group,70,ai_owner;gdpr_ai;size,"+40 hiring ""Head of AI & Data (m/w/d)"" | +20 ""Werkstudent (m/w/d) MarTech, Data & Analytics"" mentions Datenschutz next to AI | +10 looks mid-size or large (5 open roles on the board, heuristic)",https://www.arbeitnow.com/jobs/companies/es-group/head-of-ai-data-berlin-191505,https://www.arbeitnow.com/jobs/companies/es-group/werkstudent-martech-data-analytics-berlin-205095,,Berlin,arbeitnow,
2026-09-24,Arbeits- und Servicestelle für Internationale Studienbewerbungen (uni-assist) e.V.,60,ai_owner;gdpr_ai,"+40 hiring ""Referent (m/w/d) der IT-Leitung für KI & Digitalisierung / KI-Beauftragter (m/w/d)"" | +20 ""Referent (m/w/d) der IT-Leitung für KI & Digitalisierung / KI-Beauftragter (m/w/d)"" mentions EU AI Act next to AI",https://www.arbeitsagentur.de/jobsuche/jobdetail/12908-064148895-S,,,"Berlin, DEUTSCHLAND",bundesagentur,
2026-09-24,Knuddels GmbH & Co. KG,40,rollout;size,"+30 ""Werkstudent:in Automation, KI & Prozessmanagement (m/w/d) - remote oder Karlsruhe"" mentions a student role in AI enablement | +10 looks mid-size or large (4 open roles on the board, heuristic)",https://www.arbeitnow.com/jobs/companies/knuddels-gmbh-co-kg/werkstudentin-automation-ki-prozessmanagement-remote-oder-karlsruhe-481745,https://www.arbeitnow.com/jobs/companies/knuddels-gmbh-co-kg/remote-initiativbewerbung-werkstudentin-softwareentwicklung-karlsruhe-187707,,Homeoffice,arbeitnow,"Werkstudent:in Automation, KI & Prozessmanagement (m/w/d) - remote oder Karlsruhe"
2026-09-24,Med. Hochschule Hannover,40,ai_owner,"+40 hiring ""KI-Beauftragter (w/d/m)""",https://www.arbeitsagentur.de/jobsuche/jobdetail/13814-44462025-923-S,,,"Hannover, DEUTSCHLAND",bundesagentur,
2026-09-24,acadon AG,30,rollout,"+30 ""Senior Software Developer (m/w/d)"" mentions Microsoft Copilot",https://www.arbeitnow.com/jobs/companies/acadon-ag/senior-software-developer-braunschweig-59226,,,Braunschweig; Krefeld,arbeitnow,"...VS Code, AL, Git, CI/CD) und wirst im Alltag durch GitHub Copilot und Microsoft 365 Copilot unterstützt. Wenn du Lust hast, mitzudenken, Verantwortung zu überneh..."
2026-09-24,Allianz Deutschland AG,30,rollout,"+30 ""Dualer Master mit der SIBE: Junior KI-Referent im Bereich HR-Operations (m/w/d)"" mentions a student role in AI enablement",https://www.arbeitsagentur.de/jobsuche/jobdetail/12908-064040838-S,,,"Unterföhring, DEUTSCHLAND",bundesagentur,Dualer Master mit der SIBE: Junior KI-Referent im Bereich HR-Operations (m/w/d)
2026-09-24,epigenics GmbH,30,rollout,"+30 ""Werkstudent:in E-Commerce (w/m/d)"" mentions internal AI tools",https://www.arbeitnow.com/jobs/companies/epigenics-gmbh/werkstudentin-e-commerce-berlin-141316,,,Berlin,arbeitnow,"...isierung vorantreiben: Du konzipierst und baust gemeinsam mit unserem interne AI-Lösungen, die wiederkehrende Prozesse im Unternehmen effizienter machen – vom..."
2026-09-24,Mercedes-Benz Group AG,30,rollout,"+30 ""Expert Digital Experience, IT Enablement & Transformation Support (PLM.AI) (d/m/w/x)"" mentions AI enablement / training for staff",https://www.arbeitsagentur.de/jobsuche/jobdetail/13151-1635540-1-S,,,"Böblingen, DEUTSCHLAND",bundesagentur,"...h fundierte Formate für Design Thinking, Scrum, agile Zusammenarbeit, AI Enablement und neue Arbeitsweisen - Du treibst die Konzeption und Umsetzung von..."
2026-09-24,Moonfare,30,rollout,"+30 ""Data Engineer (f/m/d)"" mentions AI for the whole company",https://www.arbeitnow.com/jobs/companies/moonfare/data-engineer-berlin-345637,,,Berlin,arbeitnow,"...data platform from ingestion through to the warehouse layer, powering AI Agents, BI, and business decisions across the organization. You will: Build and maintain data pipelines from ingestion through t..."
2026-09-24,Top Vermögensverwaltung AG,30,rollout,"+30 ""Spezialist für KI und Prozessautomatisierung (m/w/d) - Vollzeit - kein Homeoffice"" mentions Microsoft Copilot",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003755641-S,,,"Itzehoe, DEUTSCHLAND",bundesagentur,"...Power Automate, setzen KI-gestützte Arbeitsabläufe unter anderem mit Microsoft Copilot um und entwickeln unser CRM-System Salesforce weiter. Dazu analysiere..."
