found,company,score,signals,why,evidence_url,more_evidence,website,location,sources,quote
2026-09-21,ADAC,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""Spezialist KI und digitale Transformation (m/w/d)"" | +30 ""Prozessautomatisierungsspezialist - Schwerpunkt KI-Agenten-Technologien (w|m|d)"" mentions AI for the whole company | +20 ""Prozessautomatisierungsspezialist - Schwerpunkt KI-Agenten-Technologien (w|m|d)"" mentions AI Act next to AI | +10 looks mid-size or large (5 open roles on the board, heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-309436-S,https://www.arbeitsagentur.de/jobsuche/jobdetail/18349-46973_16_JB5238657-S https://www.arbeitsagentur.de/jobsuche/jobdetail/12811-2315324-S,,"Hannover, DEUTSCHLAND; München, DEUTSCHLAND; Laatzen bei Hannover, DEUTSCHLAND",bundesagentur,...hitektur zusammen und bringst deine Ideen aktiv in den Ausbau unserer unternehmensweiten Automation- & AI-Plattform ein. • Zudem beobachtest du neue Technologien und prüfst ko...
2026-09-21,AggerEnergie GmbH,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""KI-Manager (m/w/d) in Gummersbach"" | +30 ""KI-Manager (m/w/d) in Gummersbach"" mentions an internal AI strategy, AI for the whole company | +20 ""KI-Manager (m/w/d) in Gummersbach"" mentions Datenschutz next to AI | +10 looks mid-size or large (post says ""220 Mitarbeitende"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1207209991-S,,,"Gummersbach, DEUTSCHLAND",bundesagentur,"...ends und Innovationen im Bereich KI • Entwicklung und Umsetzung einer unternehmensweiten KI-Strategie Ihr Profil: • Abgeschlossenes Studium im Bereich Informatik, Wirts..."
2026-09-21,Alexianer IT GmbH,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""KI-Lead (m/w/d) Alexianer, Alexianer Holding"" | +30 ""KI-Lead (m/w/d) Alexianer, Alexianer Holding"" mentions an internal AI strategy, AI for the whole company | +20 ""KI-Lead (m/w/d) Alexianer, Alexianer Holding"" mentions Datenschutz next to AI | +10 looks mid-size or large (post says ""Standorten"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/12811-2295333-S,,,"Münster, Westfalen, DEUTSCHLAND",bundesagentur,...erte Ausrichtung. Deine Aufgaben Du entwickelst und verantwortest die konzernweite KI-Strategie sowie die KI-Roadmap der Alexianer. Du berichtest direkt an die Gesch...
2026-09-21,benuta GmbH,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""AI Strategy & Automation Lead (m/w/d)"" | +30 ""AI Strategy & Automation Lead (m/w/d)"" mentions AI for the whole company | +20 ""AI Strategy & Automation Lead (m/w/d)"" mentions Datenschutz next to AI | +10 looks mid-size or large (post says ""Marktführer"", heuristic)",https://www.arbeitnow.com/jobs/companies/benuta-gmbh/ai-strategy-automation-lead-bonn-252312,,,"Bonn, Nordrhein-Westfalen, Deutschland",arbeitnow,"...n- und Vertragsprüfung. Internes Wissen und Mitarbeiterproduktivität: AI-Wissensagent für alle Mitarbeitenden auf Basis interner Dokumente, Prozesse und Verträge; AI-gestützte Sta..."
2026-09-21,Chemnitzer Verlag und Druck GmbH & Co.KG,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""Product Owner (m/w/d) KI"" | +30 ""Product Owner (m/w/d) KI"" mentions KI-Einführung, an internal AI strategy, AI for the whole company | +20 ""Product Owner (m/w/d) KI"" mentions EU AI Act next to AI | +10 looks mid-size or large (post says ""konzernweiten"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003436494-S,,,"Chemnitz, Sachsen, DEUTSCHLAND",bundesagentur,"...ssung von KPIs - Steuerung interdisziplinärer Projekte - Kreation und Einführung von KI-Anwendungen - Sicherstellung von Governance, Datenschutz und Complian..."
2026-09-21,Conrad Electronic SE,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""Director AI Strategy (m/w/d)"" | +30 ""Director AI Strategy (m/w/d)"" mentions AI for the whole company, AI governance | +20 ""Director AI Strategy (m/w/d)"" mentions AI Act next to AI | +10 looks mid-size or large (post says ""Familienunternehmen"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205960478-S,,,"Hirschau, Oberpfalz, DEUTSCHLAND",bundesagentur,"...lität und Zuverlässigkeit. Dein Beitrag zum Erfolg - Leitung des KI-Portfolio-Prozesses : Du etablierst den konzernweiten Demand-Prozess, priorisierst Use Cases gemeinsam mit den Business Uni..."
2026-09-21,Deichmann SE,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""Product Owner Agentic AI (m/w/d)"" | +30 ""Product Owner Agentic AI (m/w/d)"" mentions AI for the whole company | +20 ""Product Owner Agentic AI (m/w/d)"" mentions EU AI Act next to AI | +10 looks mid-size or large (post says ""Familienunternehmen"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/14774-BB-562995-12683-869-S,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-308441-S,,"Essen, Ruhr, DEUTSCHLAND",bundesagentur,...einen sicheren Arbeitsplatz zu bieten. Zur Weiterentwicklung unserer unternehmensweiten Agentic AI Initiativen bauen wir ein spezialisiertes AI Kompetenzteam auf. Als Product Owner bist du die zentrale Schnittstel...
2026-09-21,Harald Gollwitzer GmbH Spezialtiefbau Erd- und Tiefbau,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""IT Manager – Digitalisierung & KI (m/w/d)"" | +30 ""IT Manager – Digitalisierung & KI (m/w/d)"" mentions AI governance | +20 ""IT Manager – Digitalisierung & KI (m/w/d)"" mentions Datenschutz next to AI | +10 looks mid-size or large (post says ""Mittelstand"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1207615333-S,,,"Floß, DEUTSCHLAND",bundesagentur,"...er BI, Power Automate oder Azure - Grundkenntnisse zu GenAI, RAG oder KI-Governance - Erfahrung im Bauwesen, Spezialtiefbau oder projektorientierten Mitt..."
2026-09-21,Hornetsecurity GmbH,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""Team Lead AI Governance & Enablement"" | +30 ""Team Lead AI Governance & Enablement"" mentions KI-Einführung, Microsoft Copilot, AI for the whole company, AI enablement / training for staff, AI governance | +20 ""AI Automation & Enablement Specialist"" mentions data protection next to AI | +10 looks mid-size or large (3 open roles on the board, heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003356121-S,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003339362-S,,"Hannover, DEUTSCHLAND",bundesagentur,"...inklang stehen. - Bereitstellung architektonischer Leitlinien für die Einführung von AI über Tools, Plattformen, Workflows und Enterprise-Systeme hinweg. - U..."
2026-09-21,HOWOGE Wohnungsbauges. mbH,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""KI-Manager (m/w/d)"" | +30 ""KI-Manager (m/w/d)"" mentions AI for the whole company | +20 ""KI-Manager (m/w/d)"" mentions Datenschutz next to AI | +10 looks mid-size or large (post says ""1.400 Mitarbeitenden"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/15882-965006624-S,,,"Berlin, DEUTSCHLAND",bundesagentur,"...KI-Architektur & Technologie: Du entwickelst und verantwortest eine unternehmensweite KI-Architektur und konzipierst, implementierst sowie optimierst zukunfts..."
2026-09-21,Merck KGaA,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""Manager / Senior Manager Inhouse Consulting - Data & AI Strategy (all genders, full-/part-time)"" | +30 ""(Senior) AI Engineer - Data & AI Organisation (all genders, full-/part-time)"" mentions AI for the whole company, AI enablement / training for staff | +20 ""Manager / Senior Manager Inhouse Consulting - Data & AI Strategy (all genders, full-/part-time)"" mentions EU AI Act next to AI | +10 looks mid-size or large (post says ""offices in"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/12649-1603505-1-S,https://www.arbeitsagentur.de/jobsuche/jobdetail/12649-1622698-1-S,,"Weiterstadt, DEUTSCHLAND; Darmstadt, DEUTSCHLAND",bundesagentur,"...Ms, predictive models, and multi-agent frameworks to deliver scalable AI solutions across our business functions. You will ensure model reliability, reproducibility, and pe..."
2026-09-21,R.A.T.H. GmbH,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""Mitarbeiter Prozessdigitalisierung & KI (m/w/d) - befristet auf 12 Monate"" | +30 ""Mitarbeiter Prozessdigitalisierung & KI (m/w/d) - befristet auf 12 Monate"" mentions Microsoft Copilot | +20 ""Mitarbeiter Prozessdigitalisierung & KI (m/w/d) - befristet auf 12 Monate"" mentions Datenschutz next to AI | +10 looks mid-size or large (post says ""Standorten"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/20918-0066716708-S,,,"Düren, Rheinland, DEUTSCHLAND",bundesagentur,"...zesse. Du unterstützt Mitarbeitende bei der Nutzung von KI-Tools, Microsoft Copilot und digitalen Anwendungen . Du analysierst und behebst Schnittst..."
2026-09-21,RATHGEBER GmbH & Co. KG,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""KI- und Automatisierungsspezialist (m/w/d) Digitalisierung & IT"" | +30 ""KI- und Automatisierungsspezialist (m/w/d) Digitalisierung & IT"" mentions KI-Einführung, AI governance | +20 ""KI- und Automatisierungsspezialist (m/w/d) Digitalisierung & IT"" mentions Datenschutz next to AI | +10 looks mid-size or large (post says ""mittelständischen"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003428670-S,,,"Oberhaching bei München, DEUTSCHLAND",bundesagentur,"...wortlich. Dabei stellst du die sichere, strukturierte und nachhaltige Einführung von KI-Anwendungen in den Fachbereichen sicher. - Du unterstützt den operati..."
2026-09-21,Winner Spedition GmbH & Co. KG,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""KI-Manager (m/w/d) in Iserlohn"" | +30 ""KI-Manager (m/w/d) in Iserlohn"" mentions KI-Einführung, an internal AI strategy | +20 ""KI-Manager (m/w/d) in Iserlohn"" mentions Datenschutz next to AI | +10 looks mid-size or large (post says ""Familienunternehmen"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003431575-S,,,"Iserlohn, DEUTSCHLAND",bundesagentur,...und entwickelst daraus konkrete Anwendungsfälle. - Du begleitest die Einführung neuer KI-Anwendungen – von der ersten Idee bis zum produktiven Einsatz. - Du s...
2026-09-21,ZABAG International GmbH,100,ai_owner;rollout;gdpr_ai;size,"+40 hiring ""Corporate AI Manager / KI-Projektleitung (m/w/d)"" | +30 ""Corporate AI Manager / KI-Projektleitung (m/w/d)"" mentions KI-Einführung, Microsoft Copilot, AI for the whole company | +20 ""Corporate AI Manager / KI-Projektleitung (m/w/d)"" mentions Datenschutz next to AI | +10 looks mid-size or large (post says ""mittelständisches"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003290893-S,,,"Grünhainichen, DEUTSCHLAND",bundesagentur,...enbereich Sie übernehmen die Projektleitung für die unternehmensweite Einführung von KI-Agenten und KI-gestützten Prozessen. Dabei arbeiten Sie direkt mit de...
2026-09-21,Aareal Bank AG,90,ai_owner;rollout;gdpr_ai,"+40 hiring ""Product Owner - M365 Copilot & AI Platforms (w/m/d)​"" | +30 ""Product Owner - M365 Copilot & AI Platforms (w/m/d)​"" mentions Microsoft Copilot, AI governance | +20 ""AI Solution Architect & Delivery Manager (m/w/d)"" mentions Datenschutz next to AI",https://www.arbeitsagentur.de/jobsuche/jobdetail/12336-a26f504j0448815-S,https://www.arbeitsagentur.de/jobsuche/jobdetail/12336-a26f504j0438852-S,,"Wiesbaden, DEUTSCHLAND",bundesagentur,"...siness, IT und Governance. Kenntnisse in generativer AI , LLMs und M365 Copilot erforderlich."
2026-09-21,Circle K Deutschland GmbH,90,ai_owner;rollout;gdpr_ai,"+40 hiring ""Advisor Digital & AI Enablement (m/w/d), befristet für 1,5 Jahre (Elternzeitvertretung)"" | +30 ""Advisor Digital & AI Enablement (m/w/d), befristet für 1,5 Jahre (Elternzeitvertretung)"" mentions Microsoft Copilot, AI enablement / training for staff, AI governance | +20 ""Advisor Digital & AI Enablement (m/w/d), befristet für 1,5 Jahre (Elternzeitvertretung)"" mentions EU AI Act next to AI",https://www.arbeitsagentur.de/jobsuche/jobdetail/12951-67a7b576-ca9a-4738--S,,,"Berlin, DEUTSCHLAND",bundesagentur,"...g interner Schulungen zu digitalen und AI‑bezogenen Themen mit (z. B. Microsoft Copilot, Künstliche Intelligenz, EU AI Act).✓ Du erarbeitest einzelne Schulun..."
2026-09-21,EUROBAUSTOFF Handelsgesellschaft mbH & Co. KG,90,ai_owner;rollout;gdpr_ai,"+40 hiring ""Teamleiter (m/w/d) KI & Automation - Digitalisierung"" | +30 ""Teamleiter (m/w/d) KI & Automation - Digitalisierung"" mentions AI for the whole company, AI governance | +20 ""Teamleiter (m/w/d) KI & Automation - Digitalisierung"" mentions Datenschutz next to AI",https://www.arbeitsagentur.de/jobsuche/jobdetail/12288-4929162764-S,,,"Bad Nauheim, DEUTSCHLAND",bundesagentur,"...stehenden Entwicklerteams und verantwortest den Auf- und Ausbau einer unternehmensweiten KI-Plattform zur Umsetzung verschiedenster KI-Use-Cases. Unser Ziel ist es, eine zukunftsfähige und modulare Archit..."
2026-09-21,FINOVESTA GmbH,90,ai_owner;rollout;gdpr_ai,"+40 hiring ""AI Enablement & Governance Manager (m/w/d)"" | +30 ""AI Enablement & Governance Manager (m/w/d)"" mentions Microsoft Copilot, an internal AI strategy, AI for the whole company | +20 ""AI Enablement & Governance Manager (m/w/d)"" mentions Datenschutz next to AI",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002296151-S,,,"Düsseldorf, DEUTSCHLAND",bundesagentur,"...ikation. - Einführung und Skalierung Microsoft-basierter KI-Lösungen (Microsoft 365 Copilot, Power Automate, Power Apps, Power BI) Beispiele typischer Use Cases..."
2026-09-21,gematik GmbH,90,ai_owner;rollout;gdpr_ai,"+40 hiring ""Senior Strategy Advisor:in AI (all genders)"" | +30 ""Senior Strategy Advisor:in AI (all genders)"" mentions AI governance | +20 ""Senior Strategy Advisor:in AI (all genders)"" mentions EU AI Act next to AI",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002944492-S,,,"Berlin, DEUTSCHLAND",bundesagentur,...ndustrie-Clustern auf und treibst in Kooperationsprojekten die Themen AI-Governance und Datennutzbarkeit im Gesundheitswesen weiter voran. Dein Profi...
2026-09-21,neoshare,90,ai_owner;rollout;gdpr_ai,"+40 hiring ""Data Protection & AI Governance Advisor (m/w/d)"" | +30 ""Data Protection & AI Governance Advisor (m/w/d)"" mentions AI governance | +20 ""Data Protection & AI Governance Advisor (m/w/d)"" mentions Datenschutzmanagementsystem next to AI",https://www.arbeitnow.com/jobs/companies/neoshare/data-protection-ai-governance-advisor-munchen-387056,,,München,arbeitnow,"...nahmen und verwaltest unsere Datenschutz- und KI-Governanceplattform. AI Governance Du baust das Inventar unserer KI-Systeme auf und pflegst es, bereites..."
2026-09-21,Pat & Patachon GmbH,90,ai_owner;rollout;gdpr_ai,"+40 hiring ""KI Manager / AI Process Manager (m/w/d)"" | +30 ""KI Manager / AI Process Manager (m/w/d)"" mentions Microsoft Copilot, AI for the whole company | +20 ""KI Manager / AI Process Manager (m/w/d)"" mentions Datenschutz next to AI",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003347597-S,,,"Berlin, DEUTSCHLAND",bundesagentur,"...Tools, Automatisierung und digitale Prozesse - Erfahrung mit ChatGPT, Microsoft Copilot, Make, Zapier, Notion, Airtable, Google Workspace, CRM- oder Projektm..."
2026-09-21,ROLAND-Gruppe,90,ai_owner;rollout;gdpr_ai,"+40 hiring ""Product Owner KI (m/w/d) (Voll- oder Teilzeit)"" | +30 ""Product Owner KI (m/w/d) (Voll- oder Teilzeit)"" mentions AI governance | +20 ""Product Owner KI (m/w/d) (Voll- oder Teilzeit)"" mentions Datenschutz next to AI",https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-307195-S,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002948031-S,,"Köln, DEUTSCHLAND",bundesagentur,"...der Einhaltung von regulatorischen Anforderungen (z.B. im Kontext von AI Governance, Datenschutz und Compliance) - Kontinuierliche Optimierung von Prozes..."
2026-09-21,SMA Solar Technology AG,90,ai_owner;rollout;gdpr_ai,"+40 hiring ""Senior AI Governance and Enablement Professional (m/w/d) ..."" | +30 ""Senior AI Governance and Enablement Professional (m/w/d) ..."" mentions AI for the whole company, AI governance | +20 ""Senior AI Governance and Enablement Professional (m/w/d) ..."" mentions EU AI Act next to AI",https://www.arbeitsagentur.de/jobsuche/jobdetail/15537-JOB-854666-S,,,"Niestetal, DEUTSCHLAND",bundesagentur,"...h bei uns: - Framework & Policies – Entwicklung und Weiterentwicklung unternehmensweiter AI-Governance-Richtlinien, Standards und Rollenmodelle, Übersetzung regu..."
2026-09-21,BG prevent GmbH,80,ai_owner;rollout;size,"+40 hiring ""Senior Experte KI / AI Enablement Expert"" | +30 ""Senior Experte KI / AI Enablement Expert"" mentions KI-Einführung, Microsoft Copilot, AI enablement / training for staff | +10 looks mid-size or large (post says ""3.700 Mitarbeitenden"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/12951-8d9c6028-5a49-4dde--S,,,"Bonn, DEUTSCHLAND",bundesagentur,"...ind deine Aufgaben ✓ Du wirkst aktiv und selbstständig daran mit, den Einsatz von KI im Unternehmen strategisch weiterzuentwickeln, geeignete Rahmenbedingungen aufzubaue..."
2026-09-21,Brunner GmbH Stühle Tische Objektmöbel,80,ai_owner;rollout;size,"+40 hiring ""Prozessentwickler Digitalisierung & KI (m/w/d)"" | +30 ""Prozessentwickler Digitalisierung & KI (m/w/d)"" mentions Microsoft Copilot | +10 looks mid-size or large (post says ""Familienunternehmen"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003287619-S,,,"Rheinau, Baden, DEUTSCHLAND",bundesagentur,"...ben konkrete Use Cases für die Digitalisierung und KI (beispielsweise MS Copilot) - Sie begleiten die Umsetzung und sorgen dafür, dass Lösungen im All..."
2026-09-21,Die Autobahn GmbH des Bundes Zentrale Berlin,80,ai_owner;rollout;size,"+40 hiring ""Teamleitung Digitalisierung & KI (w/m/d)"" | +30 ""Teamleitung Digitalisierung & KI (w/m/d)"" mentions AI for the whole company, AI governance | +10 looks mid-size or large (post says ""15.000 Mitarbeitenden"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/17751-44444449-915-S,,,"Berlin, DEUTSCHLAND",bundesagentur,...besondere: Leitung und Aufbau der Kompetenzstelle Digitalisierung & KI sowie Weiterentwicklung der unternehmensweiten Digitalisierungs‑ und KI‑Initiativen Steuerung bereichsübergreifend...
2026-09-21,Dr. Ausbüttel GmbH & Co. KG,80,ai_owner;rollout;size,"+40 hiring ""Head of AI & Data Science (m/w/d), Dortmund"" | +30 ""Head of AI & Data Science (m/w/d), Dortmund"" mentions AI for the whole company | +10 looks mid-size or large (post says ""Familienunternehmen"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/12811-2340154-S,,,"Dortmund, DEUTSCHLAND",bundesagentur,...und darüber hinaus. Daher liegen die Entwicklung und Umsetzung einer unternehmensweiten Data & AI-Strategie in enger Zusammenarbeit mit den relevanten Stakeholdern (z....
2026-09-21,GWH Wohnungsgesellschaft mbH Hessen,80,ai_owner;rollout;size,"+40 hiring ""Teamlead (m/w/d) Customer Service & KI-Transformation"" | +30 ""Teamlead (m/w/d) Customer Service & KI-Transformation"" mentions KI-Einführung | +10 looks mid-size or large (post says ""650 Mitarbeitenden"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/14012-20267hcl5cku-000-S,,,"Kassel, Hessen, DEUTSCHLAND",bundesagentur,...Umsetzung neuer Lösungen sowie Begleitung der Mitarbeitenden bei der Einführung KI-gestützter Lösungen und Förderung der Akzeptanz neuer Arbeitsweisen •...
2026-09-21,ROSSMANN,80,ai_owner;rollout;size,"+40 hiring ""Product Owner (m/w/d) Agentic AI Platform – Microsoft"" | +30 ""Product Owner (m/w/d) Agentic AI Platform – Microsoft"" mentions AI enablement / training for staff | +10 looks mid-size or large (4 open roles on the board, heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-312090-S,https://www.arbeitsagentur.de/jobsuche/jobdetail/12942-1608966-1-S https://www.arbeitsagentur.de/jobsuche/jobdetail/12942-1630463-1-S,,"Burgwedel, DEUTSCHLAND",bundesagentur,...ttform- und Use-Case-Roadmap sicher - Gemeinsam mit den Teams unseres AI Enablement Frameworks begleiten und beraten Sie Fachbereiche bei der Einführung...
2026-09-21,SHW Werkzeugmaschinen GmbH,80,ai_owner;rollout;size,"+40 hiring ""Mitarbeiter KI-Anwendungen, Prozessdigitalisierung & Automatisierung (m/w/d)"" | +30 ""Mitarbeiter KI-Anwendungen, Prozessdigitalisierung & Automatisierung (m/w/d)"" mentions KI-Einführung, Microsoft Copilot | +10 looks mid-size or large (post says ""mittelständisches"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1206666815-S,,,"Aalen, Württemberg, DEUTSCHLAND",bundesagentur,"...ufe in verschiedenen Unternehmensbereichen - Praktische Anwendung und Einführung von KI-Tools wie ChatGPT, Microsoft Copilot, Gemini, Claude oder vergleichba..."
2026-09-21,SIGNAL IDUNA,80,ai_owner;rollout;size,"+40 hiring ""COE Lead (m/w/d) Künstliche Intelligenz / KI-Governance"" | +30 ""COE Lead (m/w/d) Künstliche Intelligenz / KI-Governance"" mentions AI for the whole company | +10 looks mid-size or large (7 open roles on the board, heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/12288-4936437531-S,https://www.arbeitsagentur.de/jobsuche/jobdetail/12288-4928779013-S https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003280261-S https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003724338-S,,"Hamburg, DEUTSCHLAND; Berlin, DEUTSCHLAND; Dortmund, DEUTSCHLAND",bundesagentur,"...en & Analytik"" als auch im ganzen IT Ressort Aktive Mitgestaltung der konzernweiten Aktivitäten zum Aufbau und Einsatz von Künstlicher Intelligenz Koordination & Beisteuerung von KI-Expertise, die von regulatorischen..."
2026-09-21,TGW,80,ai_owner;rollout;size,"+40 hiring ""Data and AI Manager, Marchtrenk, AT"" | +30 ""Data and AI Manager, Marchtrenk, AT"" mentions AI governance | +10 looks mid-size or large (post says ""Standorten"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/12811-2292491-S,,,"Marchtrenk, OESTERREICH",bundesagentur,...beit mit dem Data Intelligence Team Sicherstellung der Einhaltung von AI Governance Richtlinien sowie Responsible AI Prinzipien Was uns überzeugt: Mehrjä...
2026-09-21,Allit AG Kunststofftechnik,70,ai_owner;gdpr_ai;size,"+40 hiring ""Leiter KI-Transformation & Prozessoptimierung / Head of Applied AI (m/w/d)"" | +20 ""Leiter KI-Transformation & Prozessoptimierung / Head of Applied AI (m/w/d)"" mentions EU AI Act next to AI | +10 looks mid-size or large (post says ""mittelständischen"", heuristic)",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003633695-S,,,"Bad Kreuznach, DEUTSCHLAND",bundesagentur,
